Abandoned Campground | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {W} or {U}.
Blast Zone | [] | This land enters with a charge counter on it. {T}: Add {C}. {X}{X}, {T}: Put X charge counters on this land. {3}, {T}, Sacrifice this land: Destroy each nonland permanent with mana value equal to the number of charge counters on this land.
Blazemire Verge | [] | {T}: Add {B}. {T}: Add {R}. Activate only if you control a Swamp or a Mountain.
Bleachbone Verge | [] | {T}: Add {B}. {T}: Add {W}. Activate only if you control a Plains or a Swamp.
Bleeding Woods | [] | This land enters tapped unless a player has 13 or less life. {T}: Add {R} or {G}.
Blighted Cataract | [] | {T}: Add {C}. {5}{U}, {T}, Sacrifice this land: Draw two cards.
Blighted Fen | [] | {T}: Add {C}. {4}{B}, {T}, Sacrifice this land: Target opponent sacrifices a creature of their choice.
Blighted Gorge | [] | {T}: Add {C}. {4}{R}, {T}, Sacrifice this land: It deals 2 damage to any target.
Blighted Steppe | [] | {T}: Add {C}. {3}{W}, {T}, Sacrifice this land: You gain 2 life for each creature you control.
Blighted Woodland | [] | {T}: Add {C}. {3}{G}, {T}, Sacrifice this land: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
Blightstep Pathway // Searstep Pathway | set() | {T}: Add {B}. // {T}: Add {R}.
Blinkmoth Nexus | [] | {T}: Add {C}. {1}: This land becomes a 1/1 Blinkmoth artifact creature with flying until end of turn. It's still a land. {1}, {T}: Target Blinkmoth creature gets +1/+1 until end of turn.
Blinkmoth Well | [] | {T}: Add {C}. {2}, {T}: Tap target noncreature artifact.
Blood Crypt | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Bloodfell Caves | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {B} or {R}.
Bloodstained Mire | [] | {T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.
Blooming Marsh | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {B} or {G}.
Blossoming Sands | [] | This land enters tapped. When this land enters, you gain 1 life. {T}: Add {G} or {W}.
Bog Wreckage | [] | This land enters tapped. {T}: Add {B}. {T}, Sacrifice this land: Add one mana of any color.
Bojuka Bog | [] | This land enters tapped. When this land enters, exile target player's graveyard. {T}: Add {B}.
Bonders' Enclave | [] | {T}: Add {C}. {3}, {T}: Draw a card. Activate only if you control a creature with power 4 or greater.
Boreal Shelf | [] | This land enters tapped. {T}: Add {W} or {U}.
Boros Garrison | [] | This land enters tapped. When this land enters, return a land you control to its owner's hand. {T}: Add {R}{W}.
Boros Guildgate | ['Gate'] | This land enters tapped. {T}: Add {R} or {W}.
Boseiju, Who Endures | [] | {T}: Add {G}. Channel — {1}{G}, Discard this card: Destroy target artifact, enchantment, or nonbasic land an opponent controls. That player may search their library for a land card with a basic land type, put it onto the battlefield, then shuffle. This ability costs {1} less to activate for each legendary creature you control.
Boseiju, Who Shelters All | [] | Boseiju enters tapped. {T}, Pay 2 life: Add {C}. If that mana is spent on an instant or sorcery spell, that spell can't be countered.
Botanical Plaza | [] | This land enters tapped. {T}: Add {G} or {W}. {2}{G}{W}, {T}, Sacrifice this land: Draw a card.
Botanical Sanctum | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {G} or {U}.
Bottomless Vault | [] | This land enters tapped. You may choose not to untap this land during your untap step. At the beginning of your upkeep, if this land is tapped, put a storage counter on it. {T}, Remove any number of storage counters from this land: Add {B} for each storage counter removed this way.
Bountiful Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Forest, Island, or Mountain card, put it onto the battlefield tapped, then shuffle. Cycling {G}{U}{R} ({G}{U}{R}, Discard this card: Draw a card.)
Bountiful Promenade | [] | This land enters tapped unless you have two or more opponents. {T}: Add {G} or {W}.
Branchloft Pathway // Boulderloft Pathway | set() | {T}: Add {G}. // {T}: Add {W}.
Branch of Vitu-Ghazi | [] | {T}: Add {C}. Disguise {3} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.) When this land is turned face up, add two mana of any one color. Until end of turn, you don't lose this mana as steps and phases end.
Breeding Pool | ['Forest', 'Island'] | ({T}: Add {G} or {U}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.
Bretagard Stronghold | [] | This land enters tapped. {T}: Add {G}. {G}{W}{W}, {T}, Sacrifice this land: Put a +1/+1 counter on each of up to two target creatures you control. They gain vigilance and lifelink until end of turn. Activate only as a sorcery.
Brightclimb Pathway // Grimclimb Pathway | set() | {T}: Add {W}. // {T}: Add {B}.
Bristling Backwoods | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {R} or {G}.
Brokers Hideout | [] | When this land enters, sacrifice it. When you do, search your library for a basic Forest, Plains, or Island card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Brotherhood Headquarters | [] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Assassin spell or a spell that has freerunning, or to activate an ability of an Assassin source.
Brushland | [] | {T}: Add {C}. {T}: Add {G} or {W}. This land deals 1 damage to you.
Bucolic Ranch | ['Desert'] | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a Mount spell. {3}, {T}: Look at the top card of your library. If it's a Mount card, you may reveal it and put it into your hand. If you don't put it into your hand, you may put it on the bottom of your library.
Buried Ruin | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Return target artifact card from your graveyard to your hand.
Cabal Coffers | [] | {2}, {T}: Add {B} for each Swamp you control.
Cabal Pit | [] | {T}: Add {B}. This land deals 1 damage to you. Threshold — {B}, {T}, Sacrifice this land: Target creature gets -2/-2 until end of turn. Activate only if seven or more cards are in your graveyard.
Cabal Stronghold | [] | {T}: Add {C}. {3}, {T}: Add {B} for each basic Swamp you control.
Cabaretti Courtyard | [] | When this land enters, sacrifice it. When you do, search your library for a basic Mountain, Forest, or Plains card, put it onto the battlefield tapped, then shuffle and you gain 1 life.
Cactus Preserve | ['Desert'] | This land enters tapped. {T}: Add one mana of any type that a land you control could produce. {3}: Until end of turn, this land becomes an X/X green Plant creature with reach, where X is the greatest mana value among your commanders. It's still a land.
Calciform Pools | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {1}, Remove X storage counters from this land: Add X mana in any combination of {W} and/or {U}.
Caldera Lake | [] | This land enters tapped. {T}: Add {C}. {T}: Add {U} or {R}. This land deals 1 damage to you.
Canopy Vista | ['Forest', 'Plains'] | ({T}: Add {G} or {W}.) This land enters tapped unless you control two or more basic lands.
Canyon Slough | ['Swamp', 'Mountain'] | ({T}: Add {B} or {R}.) This land enters tapped. Cycling {2} ({2}, Discard this card: Draw a card.)
Capital City | ['Town'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. Cycling {2} ({2}, Discard this card: Draw a card.)
Captivating Cave | ['Cave'] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Cascade Bluffs | [] | {T}: Add {C}. {U/R}, {T}: Add {U}{U}, {U}{R}, or {R}{R}.
Cascading Cataracts | [] | Indestructible {T}: Add {C}. {5}, {T}: Add five mana in any combination of colors.
Castle Ardenvale | [] | This land enters tapped unless you control a Plains. {T}: Add {W}. {2}{W}{W}, {T}: Create a 1/1 white Human creature token.
Castle Embereth | [] | This land enters tapped unless you control a Mountain. {T}: Add {R}. {1}{R}{R}, {T}: Creatures you control get +1/+0 until end of turn.
Castle Garenbrig | [] | This land enters tapped unless you control a Forest. {T}: Add {G}. {2}{G}{G}, {T}: Add six {G}. Spend this mana only to cast creature spells or activate abilities of creatures.
Castle Locthwain | [] | This land enters tapped unless you control a Swamp. {T}: Add {B}. {1}{B}{B}, {T}: Draw a card, then you lose life equal to the number of cards in your hand.
Castle Sengir | [] | {T}: Add {C}. {1}, {T}: Add {B}. {2}, {T}: Add {U} or {R}.
Castle Vantress | [] | This land enters tapped unless you control an Island. {T}: Add {U}. {2}{U}{U}, {T}: Scry 2.
Cathedral of Serra | [] | White legendary creatures you control have "bands with other legendary creatures." (Any legendary creatures can attack in a band as long as at least one has "bands with other legendary creatures." Bands are blocked as a group. If at least two legendary creatures you control, one of which has "bands with other legendary creatures," are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)
Cathedral of War | [] | This land enters tapped. Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.) {T}: Add {C}.
Cave of Temptation | [] | {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.
Cave of the Frost Dragon | [] | If you control two or more other lands, this land enters tapped. {T}: Add {W}. {4}{W}: This land becomes a 3/4 white Dragon creature with flying until end of turn. It's still a land.
Cavern of Souls | [] | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.
Cavernous Maw | ['Cave'] | {T}: Add {C}. {2}: This land becomes a 3/3 Elemental creature until end of turn. It's still a Cave land. Activate only if the number of other Caves you control plus the number of Cave cards in your graveyard is three or greater.
Caves of Koilos | [] | {T}: Add {C}. {T}: Add {W} or {B}. This land deals 1 damage to you.
Celestial Colonnade | [] | This land enters tapped. {T}: Add {W} or {U}. {3}{W}{U}: Until end of turn, this land becomes a 4/4 white and blue Elemental creature with flying and vigilance. It's still a land.
Centaur Garden | [] | {T}: Add {G}. This land deals 1 damage to you. Threshold — {G}, {T}, Sacrifice this land: Target creature gets +3/+3 until end of turn. Activate only if seven or more cards are in your graveyard.
Cephalid Coliseum | [] | {T}: Add {U}. This land deals 1 damage to you. Threshold — {U}, {T}, Sacrifice this land: Target player draws three cards, then discards three cards. Activate only if seven or more cards are in your graveyard.
Choked Estuary | [] | As this land enters, you may reveal an Island or Swamp card from your hand. If you don't, this land enters tapped. {T}: Add {U} or {B}.
Cinder Barrens | [] | This land enters tapped. {T}: Add {B} or {R}.
Cinder Glade | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped unless you control two or more basic lands.
Cinder Marsh | [] | {T}: Add {C}. {T}: Add {B} or {R}. This land doesn't untap during your next untap step.
Citadel Gate | ['Gate'] | This land enters tapped. As this land enters, choose a color other than white. {T}: Add {W} or one mana of the chosen color.
City of Ass | [] | This land enters tapped. {T}: Add one and one-half mana of any one color.
City of Brass | [] | Whenever this land becomes tapped, it deals 1 damage to you. {T}: Add one mana of any color.
City of Shadows | [] | {T}, Exile a creature you control: Put a storage counter on this land. {T}: Add {C} for each storage counter on this land.
City of Traitors | [] | When you play another land, sacrifice this land. {T}: Add {C}{C}.
Clearwater Pathway // Murkwater Pathway | set() | {T}: Add {U}. // {T}: Add {B}.
Cliffgate | ['Gate'] | This land enters tapped. As this land enters, choose a color other than red. {T}: Add {R} or one mana of the chosen color.
Clifftop Retreat | [] | This land enters tapped unless you control a Mountain or a Plains. {T}: Add {R} or {W}.
Clive's Hideaway | ['Town'] | Hideaway 4 (When this land enters, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.) {T}: Add {C}. {2}, {T}: You may play the exiled card without paying its mana cost if you control four or more legendary creatures.
Cloudcrest Lake | [] | {T}: Add {C}. {T}: Add {W} or {U}. This land doesn't untap during your next untap step.
Cloudpost | ['Locus'] | This land enters tapped. {T}: Add {C} for each Locus on the battlefield.
Coastal Tower | [] | Coastal Tower enters tapped. {T}: Add {W} or {U}.
Command Beacon | [] | {T}: Add {C}. {T}, Sacrifice this land: Put your commander into your hand from the command zone.
Command Tower | [] | {T}: Add one mana of any color in your commander's color identity.
Commercial District | ['Mountain', 'Forest'] | ({T}: Add {R} or {G}.) This land enters tapped. When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Concealed Courtyard | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {W} or {B}.
Conduit Pylons | ['Desert'] | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Conservatory | [] | This land enters tapped. {T}: Add {G} or {W}. {4}, {T}: Investigate. (Create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")
Contaminated Aquifer | ['Island', 'Swamp'] | ({T}: Add {U} or {B}.) This land enters tapped.
Contaminated Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Plains, Island, or Swamp card, put it onto the battlefield tapped, then shuffle. Cycling {W}{U}{B} ({W}{U}{B}, Discard this card: Draw a card.)
Contested Cliffs | [] | {T}: Add {C}. {R}{G}, {T}: Target Beast creature you control fights target creature an opponent controls. (Each deals damage equal to its power to the other.)
Contested War Zone | [] | Whenever a creature deals combat damage to you, that creature's controller gains control of this land. {T}: Add {C}. {1}, {T}: Attacking creatures get +1/+0 until end of turn.
Copperline Gorge | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {R} or {G}.
Coral Atoll | [] | This land enters tapped. When this land enters, sacrifice it unless you return an untapped Island you control to its owner's hand. {T}: Add {C}{U}.
Cori Mountain Monastery | [] | This land enters tapped unless you control a Plains or an Island. {T}: Add {R}. {3}{R}, {T}: Exile the top card of your library. Until the end of your next turn, you may play that card.
Corrupted Crossroads | [] | {T}: Add {C}. ({C} represents colorless mana.) {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast a spell with devoid.
Country Roads | [] | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {W}. {1}{W}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles Mounts and crews Vehicles as though its power were 2 greater." Activate only as a sorcery.
Cradle of the Accursed | ['Desert'] | {T}: Add {C}. {3}, {T}, Sacrifice this land: Create a 2/2 black Zombie creature token. Activate only as a sorcery.
Cragcrown Pathway // Timbercrown Pathway | set() | {T}: Add {R}. // {T}: Add {G}.
Crawling Barrens | [] | {T}: Add {C}. {4}: Put two +1/+1 counters on this land. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land.
Creeping Tar Pit | [] | This land enters tapped. {T}: Add {U} or {B}. {1}{U}{B}: This land becomes a 3/2 blue and black Elemental creature until end of turn and can't be blocked this turn. It's still a land.
Creosote Heath | ['Desert'] | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {G} or {W}.
Crosis's Catacombs | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {U}, {B}, or {R}.
Crossroads Village | ['Town'] | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color.
Crucible of the Spirit Dragon | [] | {T}: Add {C}. {1}, {T}: Put a storage counter on this land. {T}, Remove X storage counters from this land: Add X mana in any combination of colors. Spend this mana only to cast Dragon spells or activate abilities of Dragons.
Crumbling Necropolis | [] | This land enters tapped. {T}: Add {U}, {B}, or {R}.
Crumbling Vestige | [] | This land enters tapped. When this land enters, add one mana of any color. {T}: Add {C}. ({C} represents colorless mana.)
Cryptic Caves | [] | {T}: Add {C}. {1}, {T}, Sacrifice this land: Draw a card. Activate only if you control five or more lands.
Cryptic Spires | [] | As you create your deck, circle two of the colors below. Cryptic Spires enters tapped. {T}: Add one mana of either of the circled colors.
Crypt of Agadeem | [] | This land enters tapped. {T}: Add {B}. {2}, {T}: Add {B} for each black creature card in your graveyard.
Crypt of the Eternals | [] | When this land enters, you gain 1 life. {T}: Add {C}. {1}, {T}: Add {U}, {B}, or {R}.
Crystal Grotto | [] | When this land enters, scry 1. {T}: Add {C}. {1}, {T}: Add one mana of any color.
Crystal Quarry | [] | {T}: Add {C}. {5}, {T}: Add {W}{U}{B}{R}{G}.
Crystal Vein | [] | {T}: Add {C}. {T}, Sacrifice this land: Add {C}{C}.
Dakmor Salvage | [] | This land enters tapped. {T}: Add {B}. Dredge 2 (If you would draw a card, you may mill two cards instead. If you do, return this card from your graveyard to your hand.)
Dalkovan Encampment | [] | This land enters tapped unless you control a Swamp or a Mountain. {T}: Add {W}. {2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.
Darigaaz's Caldera | ['Lair'] | When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand. {T}: Add {B}, {R}, or {G}.
Darkbore Pathway // Slitherbore Pathway | set() | {T}: Add {B}. // {T}: Add {G}.
Dark Depths | [] | Dark Depths enters with ten ice counters on it. {3}: Remove an ice counter from Dark Depths. When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.
Darkmoss Bridge | [] | This land enters tapped. Indestructible {T}: Add {B} or {G}.
Darkslick Shores | [] | This land enters tapped unless you control two or fewer other lands. {T}: Add {U} or {B}.
Darksteel Citadel | [] | Indestructible {T}: Add {C}.
Darkwater Catacombs | [] | {1}, {T}: Add {U}{B}.
Daru Encampment | [] | {T}: Add {C}. {W}, {T}: Target Soldier creature gets +1/+1 until end of turn.
Deathcap Glade | [] | This land enters tapped unless you control two or more other lands. {T}: Add {B} or {G}.
Deceptive Landscape | [] | {T}: Add {C}. {T}, Sacrifice this land: Search your library for a basic Plains, Swamp, or Forest card, put it onto the battlefield tapped, then shuffle. Cycling {W}{B}{G} ({W}{B}{G}, Discard this card: Draw a card.)
Demolition Field | [] | {T}: Add {C}. {2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.
Den of the Bugbear | [] | If you control two or more other lands, this land enters tapped. {T}: Add {R}. {3}{R}: Until end of turn, this land becomes a 3/2 red Goblin creature with "Whenever this creature attacks, create a 1/1 red Goblin creature token that's tapped and attacking." It's still a land.
Desert | ['Desert'] | {T}: Add {C}. {T}: This land deals 1 damage to target attacking creature. Activate only during the end of combat step.
Deserted Beach | [] | This land enters tapped unless you control two or more other lands. {T}: Add {W} or {U}.
Deserted Temple | [] | {T}: Add {C}. {1}, {T}: Untap target land.
Desert of the Fervent | ['Desert'] | This land enters tapped. {T}: Add {R}. Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
Desert of the Glorified | ['Desert'] | This land enters tapped. {T}: Add {B}. Cycling {1}{B} ({1}{B}, Discard this card: Draw a card.)
Desert of the Indomitable | ['Desert'] | This land enters tapped. {T}: Add {G}. Cycling {1}{G} ({1}{G}, Discard this card: Draw a card.)
Desert of the Mindful | ['Desert'] | This land enters tapped. {T}: Add {U}. Cycling {1}{U} ({1}{U}, Discard this card: Draw a card.)
Desert of the True | ['Desert'] | This land enters tapped. {T}: Add {W}. Cycling {1}{W} ({1}{W}, Discard this card: Draw a card.)
Desolate Lighthouse | [] | {T}: Add {C}. {1}{U}{R}, {T}: Draw a card, then discard a card.
Desolate Mire | [] | {1}, {T}: Add {W}{B}.
Detection Tower | [] | {T}: Add {C}. {1}, {T}: Until end of turn, your opponents and creatures your opponents control with hexproof can be the targets of spells and abilities you control as though they didn't have hexproof.
